content,label
"이전 버전의 포장 카테고리는 모든 종류의 가게를 리스트 하나로 볼 수 있어서 편했는데, 지금 버전은 한 번에 볼 수가 없어서 번거롭네요.",1
간편하고 빠르게 주문할 수 있어서 좋아요^-^,1
편리해서 좋아요 사용자에게 해당되는 쿠폰 알려주면 더좋을것같아요,1
너무 편리하고 업체 등록도 마니 되어있어서 좋네요^,1
쿠폰도 제공되고해서 좋아요 주변에 뭐가 있는지 잘 모를때 최고인듯,1
편하고 배달료도 거리별로 나눠져 있으며 업체도 어마어마 하네요,1
상가 책자보다 목록이 많으니 좋네요. 쿠폰도 간혹 있고.,1
주말쿠폰 받아 잘 이용했네요 진즉 이용할 걸 배달하기 넘 편했네요~^,1
다 괜찮은데 배달 주소를 바꿔도 바꾼게 적용이 안돼서 민망한 적이 꽤 있었어요.,1
넘 편리하네요 우리동네에 배달음식점이 이렇게 많은지 첨 알았어요 마니애용할께요,1
편하네요 요기요만 사용하다 배달의민족도 인터페이스가 간편한듯요,1
옛날 배민이 아니네요. 많이 좋아졌네요. 회사의 노력에 박수를 보냅니다.,1
"간단하고, 편리하게 주문 가능해서 좋습니다.",1
지금까지 쓴 어플 중 가장 정리도 잘 되어있고 아주 좋은 앱이네요,1
넘 좋구 편리하내요 . 첨 사용 하는거라 넘 좋와요,1
"너무좋아요 주소는 안산시 단원구 저쩌구 오후 서울 강남구 역삼동 있다 오후 서울 지하철 안에서 우리 모두가 함께 하는 것은 아니지만 그래도 8번지 1층 115호 것이 좋다 있다 오후 서울 지하철 역 개업 있다 오후 에 입금하고 연락드릴께요 택배는 착불로보내주세요 ㅎ 좋은 하루 되세요 ㅋ 근데 왜 그렇게 되면 다시 한번 확인 부탁드립니다 오후 서울 종로구 평창 동계올림픽 유치를 위해 필요한 것은 아니지만 그래도 나는 가수다 나머지 13,572,000원은 제가 직접 만든 것이다",1
매번 지웠다가 다시 설치하게 되는 마성의 앱. 나약한 나 정신차려.😢😭,1
할인도 많고 종류도 많고 최고네요,1
"사용하기 편리하고, 선택 음식이 다양해요",1
배달책자 안들어오는 아파트라 배민으로 항상 주문해요 편리해서 좋아요,1
편리하게 잘 사용하고있어요 이벤트도 만족합니다,1
제 주문내역과 리뷰내역 내에서 검색기능 있으면 좋겠습니다,1
할인쿠폰 많이줬음좋겠네요ㅜ 리뷰이벤트는 너무 좋아요ㅎ,1
배달비가 부과되지만 편하니까 계속 사용하게되요,1
"안녕하세요, 배민 쿠폰을 선물했는데 받으시는 분이 우리나라에 거주하시는 외국인 분이셔서 등록하기를 누르면 내국인만 된다고하네요, 혹시 이 기능은 언제쯤 업데이트가 가능할까요?",1
편리해서 좋기는한디 살이 평소보다 많이 찐다는게 단점ㅜ,1
댓글에서 원하는 메뉴에 대한 것만 골라 볼 수 있으면 좋겠습니다,1
사용하기 편하고 주문할때 오해도 안생겨서 좋네요,1
할인쿠폰 이벤트 자주하면 많이 이용하게 될것 같네요,1
주문도 편하고 신속하게 배달오고 좋아요~,1
배달팁은 라이더님께 주는거라는데 몇몇 업소는 배달팁 자체를 고객한테 전부 부담시키고 실제 라이더님에게는 그배달팁을 다주지 않습니다. 예) 배달팁이 4천원인데 라이더님들에게는 3천원만 주는경우 저런경우는 업체가 배달팁에서도 마진을 남기는경우 아닌가요?,1
제일 애용하는 어플입니다! 할인 쿠폰도 적용해줘서 좋은거같아요!,1
오 개잘되네요 배달 60분뒤에 온다는데 30분에 와서 좋았습니다!ㅎ,1
앱이 너무 편해요 배달의민족 도대체 어떠게만든건가요ㅜㅡ 너무 좋아요,1
등급마다 해택좀크게 해줬으면해요 쿠폰도 여러게 같이 쓸수있게 해주면 좋겠어요,1
배민쿠폰을 라이더스에서 이용하지 못해 아쉽네요. 주문은 거의 라이더스 아닌가요? 있으나 마나한 쿠폰이네요,1
주문후 배달시간이 빠른것 같아요. 더이용해보고 후속후기 올릴게요.,1
쿠폰도 잘 챙겨주시고 등록 가게도 많은듯 해서 좋았습니다.,1
메뉴아이콘 종나구려졌네,1
역시 최고 배달어플인것같아요 잘이용하고있어요 적극추천,1
가격 할인에 바른 배달 아주 좋습니다.~^,1
가격대로 검색하는 기능이 있으면 좋겠습니다~,1
사용하기 편하고 다양한 메뉴가 있어 좋아요,1
"배민라이더스 빠르고 1인분도,맛집도 배달되어 넘 좋아요",1
항상 빠르고 정확하고 선택권이 많아서 좋아요,1
너무 편해요 카독 없으면 전화비 많이 나올텐대 카독 때문에 도움 많이 돼요,1
전화로 주문할필요없이 간편하게 결제까지가능해서 편해요~,1
간편하고 빠르고 할인도되고 딱 ! 자주자주이용,1
사용 환경 UI기능좀 개선 부탁드립니다~^,1
배달 빠르고 음식 최고! 특히 오다리.실합니다,1
"배달의민족 아주좋아요 🩵🫶 가게배달 크기변경되서 깜놀! B마트와 음식들🫑🌽🥝🧇모두 먹고싶은재료고를수있답니다 쉬는날에(전화못받을수있음)주문확인👩‍🍳👨‍🍳부터 배달중🛵까지 배달하신분들,일하시는분들. 고생하셨는데 환절기감기조심하세요~😷방치하시마시고 약드시거나 병원갔다오기 💊",1
아주좋아요 근처에 어떤식당이 있는지 바로알수있으니까 넘편해요~,1
편리하고 좋아요~없는곳도있지만.그래도 편히 잘 쓰고있습니다~!,1
간편합니다. 옆동네랑 비교가 안될정도로 좋습니다.,1
배달 업체도 많고 좋아요 요즘 배달 시간도 나오네요 굿~^,1
너무좋아요 전화로시키는것과 너무차이가많이 나네요 자주이용한답니다,1
메뉴별로 리뷰를 볼수있게 하면 완벽하겠네요. 기대하겠습니다!,1
전에 사용하다 한동안 쓰질않았는데 배달앱 많이 발전됐네요 요즘 잘쓰고있어요,1
편리해요. 검색기능이 맨 위에 있으면 더 좋을거 같아요.,1
사용하기 편하고 주변 배달집 다 알려줘서 좋아요~,1
"처음인데, 홍대 레트로켄터키에서 주문 바로 했는데, 빠르고 좋아요.",1
쿠폰까지 쓸수있고 여기저기 등록된곳도 많고 만족합니다ㅎ,1
리뷰볼수있고 할인받아서 좋긴한데 과연 평점이 솔직한지는 잘.,1
"배달비 할인이 더 자주, 많이 있었으면 좋겠의요.",1
보기 편하고 사용이 쉽게 되어 있어서 좋네요,1
배달 주문을 간편하게 할 수 있는 좋은 어플입니다^,1
이 어플은 제가 뽑은 탑1 앱입니다 정말간편해요 군더더기 전혀없고 너무좋아요 꼭 사용하십셔,1
영수증 출력란도 만들어줬으면 좋겟어요 예전엔 있었는데 사라졋네요.,1
집근처 맛집이 이렇게 많이 있는줄 몰랐네요.제공하는 정보의 질도 괜찮고.,1
주문하기 쉽고 예상 시간도 알수 있어서 좋음,1
편하게 채팅으로 대화할 수 있고 빠른 답변도 와서 좋습니다~,1
편리하고 주변맛집을 찾기편해 넘 좋아요,1
가끔 주문했던 음식이 상황에 따라 취소가 되니 답답한 점이 조금 있네요~,1
편리하고 리뷰랑 별점도 도움이 많이 됩니다,1
운영팀이 봤으면 하는건데요. 전 배민도 하고 배민도 시켜먹는 사람인데 배달을 하면 포인트를 줘서 주문을 할때 배달료나 음식료를 할인 할수있게 하면 배달하는 사람이나 시켜먹는 사람이나 선순환이 이루어지는건데~ 몇년 동안 봐오니까 하도 답답해서 진즉에 했으면 경쟁 배달만 하는 업체들 물리치고 할수있을껀데 왜 안하지? 궁금해서 물어보는겁니다.,1
쿠폰이 있어서 좋구 편리하게 주문할수있어서 좋았네요^,1
편하고 좋아요 요즘은 종류도 많아져서 더 좋아요^,1
배달앱 좋은데 배달비가 어떤데는 음식 하나 더 시키는 가격이라.,1
처음 다운하고 가입했을 때 첫결제 이벤트를 바로 알려줬으면 좋겠어요.,1
혼밥을 즐기다보니 배민 많이 이용하는데 넘 편리하고 좋네요,1
배민형님들 항상 수고하십니다 다너무 좋은데 리뷰에 누가뭐시켰는지좀 알려주시면 감사하겠습니다 맛있는 치킨사진보고도 그게 뭔질몰라서 못시킵니다ㅠㅜ수고하세요형님들,1
배달비까지 한번에 결재가 되어 편리하네요,1
할인 서비스에 이용하기 쉬워좋습니다! 최고,1
잉ㅠ 항상 배민 현장현금결제는 본인인증?이런거 필요없었는데ㅠ 갑자기 필요한 버전이 됬네영.,1
포인트도 쓸수있고 편하게 시켜먹고 있어요. 아주굿굿,1
잘 사용하고 있습니다 혹시 식당마다 개인적으로 메모를 작성할 수 있는 칸이 개발될 수 있을까요?,1
가맹점도 많고 업소에 관한 정보도 자세해서 편리한 앱입니다.,1
앱은 괜찮은데 가게가 양심이 없는게 배달료 다 받으면서 최소주문은 왜 받죠? 어떤 가게들은 배달이라고 가격도 더 높게 받으면서 양심 어디;,1
편하게 주문할수있고 할인쿠폰 많아서 좋아요,1
점점 더 다양한 메뉴가 올라와서 좋네요.,1
언제배달이 되는지 주문이 들어갔는지 알기쉽워 좋아요,1
정말 편리하고 좋아요. 배달책자가 필요없어졌어요,1
주문하기도 편하고 사용도 간편하네요. ^,1
비교가 안되는 빠름과 친절에 만족합니다.,1
2년전에용달화물자영업자그만두고 쉬고있는69세남자인데 오트바이든 전기자전거든구입하고 배민에서 일할수있나요? 취향에 잘맟을것 같아서요^,1
자주 사용하고 있으며 편하게 주문이 가능해서 너무 좋아요,1
